harry
nao
disse
rony
voce
hagrid
coisa
hermione
bem
cabeca
olhos
ter
ate
dumbledore
vez
perguntou
vai
entao
so
lo
porta
agora
snape
ja
parecia
weasley
dois
fazer
la
voces
potter
nada
voz
lockhart
dizer
todos
vamos
nunca
havia
alguma
aqui
tao
sr
draco
lado
quase
sabe
ainda
sala
porque
ver
grifinoria
tempo
ah
casa
grande
enquanto
onde
sobre
escola
varinha
hogwarts
viu
duda
malfoy
tudo
antes
senhor
outra
volta
tambem
pode
rosto
deu
profa
tio
alunos
todo
noite
dia
vou
chao
valter
mione
mao
cima
fez
alto
neville
respondeu
melhor
dobby
alguem
ficou
dursley
depressa
ninguem
cara
fred
tres
hora
frente
bom
acho
dentro
riddle
sonserina
sempre
carro
jorge
gina
falar
outro
olhar
pessoas
sei
ouviu
madame
pedra
filch
ano
prof
cada
quirrell
ia
lugar
meio
percy
saiu
pouco
mesa
gritou
talvez
fazendo
exclamou
tentando
falou
claro
direcao
comecou
olhou
ar
quadribol
primeiro
ali
dar
sra
camara
atras
podia
ai
toda
corredor
repente
ficar
livros
assim
garoto
sabia
ha
vassoura
poderia
coisas
chapeu
sao
trouxas
capa
mundo
boca
professor
abriu
minerva
estao
virou
embora
sido
bruxo
quero
vezes
vao
cabelos
aula
tia
gente
outros
quanto
contra
deve
mal
ir
maos
petunia
certeza
cama
diario
saber
menos
hoje
correndo
magia
pai
qualquer
los
nome
pessoa
bruxos
passar
primeira
tras
livro
seguinte
duas
finalmente
olhando
castelo
anos
entrar
caminho
lufa
queria
parede
devia
vida
meia
mim
tentou
quer
vestes
realmente
logo
sentiu
janela
carta
deixou
segundo
mcgonagall
sera
nariz
voltar
forca
sorriso
espelho
sair
familia
nenhum
murta
instante
time
bateu
parou
uns
acha
menino
tanto
novo
momento
passou
conseguiu
manha
pensar
minutos
floresta
posso
durante
quarto
sangue
rua
voldemort
salao
professora
cobra
braco
pontos
mae
cinco
seguida
alta
goyle
demais
contar
luz
algum
pes
ouviram
silencio
verdade
coruja
quatro
pirraca
levantou
entrou
tom
tarde
caiu
apenas
andar
murmurou
pe
garotos
enorme
olivio
fazia
deixar
continuou
dando
rubeo
boa
ouvir
todas
aconteceu
favor
baixo
wood
secreta
encontrar
ideia
pensou
ergueu
alguns
diante
fogo
desde
voltou
atencao
crabbe
professores
escada
banheiro
dez
continuava
velho
mesma
puxou
chegar
naquele
corpo
disso
dificil
teto
escuro
historia
tornou
slytherin
sim
fim
poder
pudesse
chegou
costas
falando
nick
trem
parte
maior
pareceu
horas
pena
razao
olhe
vira
tirou
pernas
armario
amigos
pocao
dragao
pais
jogo
dizendo
muita
feitico
modo
feito
sentou
pareciam
granger
cheio
canino
oculos
trevas
perto
contou
comprar
levou
cair
desapareceu
entrada
balaco
achou
conseguia
preciso
grandes
ultima
ponta
jeito
parar
trasgo
esperando
caso
apanhou
parecendo
certo
sairam
pomfrey
colin
cartas
natal
biblioteca
medo
agarrou
comunal
matar
pocoes
sob
palavras
exatamente
aranhas
mulher
sorte
pensando
campo
bruxas
umas
ombro
longe
paredes
lareira
aulas
guarda
mamae
correu
testa
andando
vista
expressao
justino
vassouras
procurando
ficaram
homem
tentar
caldeirao
feiticos
cadeira
